generation,avg_fitness,max_fitness,signals_emitted,iconicity,mutual_info,jsd_no_pred,jsd_pred,silence_corr,sender_fit_corr,traj_fluct_ratio,receiver_fit_corr,response_fit_corr,silence_onset_jsd,silence_move_delta,avg_base_hidden,min_base_hidden,max_base_hidden,avg_signal_hidden,min_signal_hidden,max_signal_hidden,zone_deaths,signal_entropy,freeze_zone_deaths,food_mi,poison_eaten,energy_delta_mi
66900,49134.5781,792950.0000,209254,0.089730,0.000000,0.026342,0.005882,0.192673,-0.591326,0.000000,0.208279,0.067393,0.054956,-0.149810,12.5,7,18,5.6,2,11,5540,1.746470,3909,0.001685,0,0.000804
66910,32365.7168,557250.0000,195236,0.002831,0.000000,0.053872,0.004271,-0.051737,-0.716532,0.000000,0.280044,0.098437,0.000000,0.000000,12.5,8,18,5.6,2,10,5456,1.738890,3772,0.001059,0,0.000613
66920,36229.2734,579250.0000,209941,0.000314,0.000000,0.227896,0.007490,0.226978,-0.732454,0.000000,0.487740,0.091761,0.000000,0.000000,12.5,7,19,5.6,2,11,5280,1.739518,3401,0.001254,0,0.001566
66930,31158.2988,550300.0000,191119,0.044419,0.000000,0.024553,0.007462,0.189818,-0.720248,0.000000,0.403524,0.170046,0.085174,-0.225110,12.4,7,18,5.5,2,11,5663,1.747626,2904,0.001200,0,0.001698
66940,39919.1406,578500.0000,230103,0.065373,0.000000,0.028975,0.003468,0.226809,-0.723036,0.000000,0.300816,0.108264,0.034989,-0.104485,12.5,7,18,5.6,2,10,4798,1.732058,3346,0.001112,0,0.000876
66950,32253.7520,509400.0000,212980,0.010012,0.000000,0.046102,0.006976,0.277556,-0.735488,0.000000,0.230207,0.110387,0.000000,0.000000,12.5,7,18,5.6,2,11,5360,1.734919,3746,0.001219,0,0.001523
66960,60343.8164,781300.0000,258885,0.193032,0.000000,0.028131,0.009013,0.206836,-0.574912,0.000000,0.069816,0.108759,0.028730,-0.111904,12.5,7,18,5.6,3,11,4808,1.736068,2422,0.001301,0,0.000290
66970,30970.7480,561800.0000,186308,0.004530,0.000000,0.047025,0.007938,0.044437,-0.670280,0.000000,0.249379,0.071323,0.000000,0.000000,12.5,8,18,5.6,2,11,5737,1.742325,3709,0.001427,0,0.002081
66980,58515.6562,795550.0000,246211,0.098730,0.000000,0.023884,0.005101,0.192057,-0.620506,0.000000,0.184997,0.078879,0.018342,-0.080027,12.5,7,18,5.5,2,10,4870,1.730901,2563,0.000570,0,0.001104
66990,45865.4883,686900.0000,223593,0.006061,0.000000,0.019381,0.002560,0.243571,-0.650381,0.000000,0.176022,0.068569,0.000000,0.000000,12.5,7,18,5.6,2,11,5039,1.739556,3106,0.001121,0,0.001620
67000,33212.0859,593700.0000,188946,0.001347,0.000000,0.000000,0.006689,0.173160,-0.657157,0.000000,0.245758,0.160030,0.000000,0.000000,12.4,7,19,5.6,2,11,5684,1.743364,4030,0.000906,0,0.001404
